ID	LABEL	Type
ID	A rdfs:label	TYPE
ex:Activity	Activity
ex:Aerobic_dance	Aerobic_Dance
ex:Amount	Amount
ex:Athletic_walking	Athletic_Walking
ex:Autorepair	Autorepair
ex:Backpacking	Backpacking
ex:Badminton	Badminton
ex:Balance_exercise	Balance_Exercise
ex:Ball_game	Ball_Game
ex:Baseball	Baseball
ex:Basketball	Basketball
ex:Boogieboarding	Boogieboarding
ex:Bowling	Bowling
ex:Brisk	Brisk
ex:Brisk_walking	Brisk_Walking
ex:By_distance	By_Distance
ex:By_duration	By_Duration
ex:By_hour	By_Hour
ex:By_minute	By_Minute
ex:By_repetition	By_Repetition
ex:Calisthenic	Calisthenic
ex:Camping	Camping
ex:Canoeing	Canoeing
ex:Cardiovascular_fitness	Cardiovascular_Fitness
ex:Carpentry	Carpentry
ex:Cheerleading	Cheerleading
ex:Chopping_vegetable	Chopping_Vegetable
ex:Chopping_wood	Chopping_Wood
ex:Chores	Chores
ex:Circuit_training	Circuit_Training
ex:Cleaning_gutter	Cleaning_Gutter
ex:Clearing_table	Clearing_Table
ex:Clearing_walk	Clearing_Walk
ex:Climbing	Climbing
ex:Collecting_rubbish	Collecting_Rubbish
ex:Cross_country_ski	Cross_Country_Ski
ex:Crunch	Crunch
ex:Cycling	Cycling
ex:Daily_living_activity	Daily_Living_Activity
ex:Dance	Dance
ex:Day	Day
ex:Digging	Digging
ex:Distance_unit	Distance_Unit
ex:Down_stair_climing	Down_Stair_Climing
ex:Downhill_ski	Downhill_Ski
ex:Driveway_cleaning	Driveway_Cleaning
ex:Drying_dish	Drying_Dish
ex:Dusting	Dusting
ex:Elastic_band	Elastic_Band
ex:Electrical_work	Electrical_Work
ex:Endurance_exercise	Endurance_Exercise
ex:Exercise_effect	Exercise_Effect
ex:Exercise_equipment	Exercise_Equipment
ex:Exercise_leisure_activity	Exercise_Leisure_Activity
ex:Exercise_program	Exercise_Program
ex:Fast	Fast
ex:Field_hockey	Field_Hockey
ex:Fishing	Fishing
ex:Flexibility_exercise	Flexibility_Exercise
ex:Floor_hockey	Floor_Hockey
ex:Folding_laundry	Folding_Laundry
ex:Football	Football
ex:Free_weights	Free_Weights
ex:Frequency	Frequency
ex:Frisbee	Frisbee
ex:Gardening	Gardening
ex:Golf	Golf
ex:Ground	Ground
ex:Gymnastics	Gymnastics
ex:Hammering	Hammering
ex:Handball	Handball
ex:High_intensity_interval_training	High_Intensity_Interval_Training
ex:Hiking	Hiking
ex:Hockey_game	Hockey_Game
ex:Hoeing	Hoeing
ex:Home_improvement_maintenance	Home_Improvement_Maintenance
ex:Home_repair	Home_Repair
ex:Horseback_riding	Horseback_Riding
ex:Hour	Hour
ex:Housekeeping_chore	Housekeeping_Chore
ex:Hunting	Hunting
ex:Ice	Ice
ex:Ice_hockey	Ice_Hockey
ex:Ice_skate	Ice_Skate
ex:Improved_body_balance	Improved_Body_Balance
ex:Improved_posture	Improved_Posture
ex:Improved_range_of_motion	Improved_Range_of_Motion
ex:Increased_bone_strength	Increased_Bone_Strength
ex:Increased_breathing	Increased_Breathing
ex:Increased_heart_rate	Increased_Heart_Rate
ex:Increased_muscle_strength	Increased_Muscle_Strength
ex:Indoor	Indoor
ex:Inline_skate	Inline_Skate
ex:Insufficient_activity	Insufficient_Activity
ex:Integrated_fitness	Integrated_Fitness
ex:Intensity	Intensity
ex:Irregular	Irregular
ex:Jazzercise	Jazzercise
ex:Jogging	Jogging
ex:Judo	Judo
ex:Jump_rope	Jump_Rope
ex:Karate	Karate
ex:Kayaking	Kayaking
ex:Lab_swimming	Lab_Swimming
ex:Location	Location
ex:Low	Low
ex:Martial_art	Martial_Art
ex:Meter	Meter
ex:Mile	Mile
ex:Mind_body_activity	Mind_Body_Activity
ex:Minute	Minute
ex:Moderate	Moderate
ex:Modifier	Modifier
ex:Month	Month
ex:Mopping	Mopping
ex:Motocycling	Motocycling
ex:Mountaineering	Mountaineering
ex:Mowing_lawn	Mowing_Lawn
ex:Nordic_track	Nordic_Track
ex:Observation_period	Observation_Period
ex:Outdoor	Outdoor
ex:Outdoor_leisure_activity	Outdoor_Leisure_Activity
ex:Outdoor_swimming	Outdoor_Swimming
ex:PACO	PACO
ex:Painting	Painting
ex:Per_month	Per_Month
ex:Per_week	Per_Week
ex:Physically_active_game	Physically_Active_Game
ex:Pilates	Pilates
ex:Planting	Planting
ex:Polish_car	Polish_Car
ex:Polishing	Polishing
ex:Preparing_food	Preparing_Food
ex:Pruning	Pruning
ex:Pull_up	Pull_Up
ex:Pulmonary_fitness	Pulmonary_Fitness
ex:Push_up	Push_Up
ex:Quad_skate	Quad_Skate
ex:Racquetball	Racquetball
ex:Raking	Raking
